VIVIENDA	HOGAR	NUMERO_ENCUESTA	SECUENCIA_ENCUESTA	SECUENCIA_PADRE	ORDEN	REL_NUMERO_ENCUESTA	REL_SECUENCIA_ENCUESTA	GSR_GMF_TIPO_MRCDO	GSR_GMF_VALOR_TOTAL_MRCDO	CODIGO_ENIG	FACTOR_EXPANSION_EC_E1
15398	01	145	3	1	3	14	1	97	4000	153980100	903.837138062474
15398	01	145	4	1	4	14	1	98	22000	153980100	903.837138062474
15398	02	145	5	2	1	14	2	95	36000	153980200	903.837138062474
15398	02	145	6	2	2	14	2	96	29300	153980200	903.837138062474
15398	02	145	7	2	3	14	2	97	36000	153980200	903.837138062474
15398	02	145	8	2	4	14	2	98	95000	153980200	903.837138062474
15421	01	145	1	1	1	14	1	95	20000	154210100	519.058395437617
15421	01	145	2	1	2	14	1	96	30000	154210100	519.058395437617
15421	01	145	3	1	3	14	1	97	30000	154210100	519.058395437617
18285	01	145	1	1	1	14	1	95	20000	182850100	343.258101984485
18285	01	145	2	1	2	14	1	97	20000	182850100	343.258101984485
18285	01	145	3	1	3	14	1	98	10000	182850100	343.258101984485
18336	02	145	2	2	1	14	2	98	120000	183360200	633.861909956852
18505	01	145	2	1	2	14	1	96	3000	185050100	1446.86638062351
18757	01	145	2	1	2	14	1	97	226800	187570100	241.645705033156
18792	01	145	1	1	1	14	1	97	75000	187920100	165.258204640828
18887	01	145	2	1	2	14	1	96	10000	188870100	1205.12100302448
21386	01	145	1	1	1	14	1	95	9999	213860100	
02709	01	145	1	1	1	14	1	97	50000	027090100	1228.206961121
02737	01	145	2	1	2	14	1	96	15000	027370100	209.817642482885
02744	01	145	3	1	3	14	1	97	30000	027440100	209.553081318163
05225	01	145	1	1	1	14	1	98	55000	052250100	1209.1815392442
05232	01	145	1	1	1	14	1	98	120000	052320100	687.301480414803
26422	01	145	4	1	4	14	1	98	150000	264220100	292.924894777288
26505	01	145	1	1	1	14	1	95	60000	265050100	314.267684316218
26507	01	145	1	1	1	14	1	95	20000	265070100	342.674656641124
26578	01	145	1	1	1	14	1	95	12000	265780100	327.068897180722
21416	01	145	1	1	1	14	1	98	38000	214160100	286.708832885735
22111	01	145	2	1	2	14	1	97	200000	221110100	1399.1626396799
22253	01	145	1	1	1	14	1	95	8000	222530100	488.134705181777
22300	01	145	3	1	3	14	1	97	25000	223000100	1086.98331599677
22336	01	145	1	1	1	14	1	98	50000	223360100	446.760509700325
05870	01	145	1	1	1	14	1	97	16000	058700100	
05966	01	145	1	1	1	14	1	98	75000	059660100	843.075214803035
07954	01	145	1	1	1	14	1	98	75000	079540100	1731.89905632528
10483	01	145	1	1	1	14	1	98	50000	104830100	521.441641050037
10486	01	145	2	1	2	14	1	96	4800	104860100	642.946867063426
26583	01	145	1	1	1	14	1	98	300000	265830100	609.835272363696
29615	01	145	1	1	1	14	1	95	50000	296150100	1358.91644334452
32655	01	145	1	1	1	14	1	98	180000	326550100	1220.26674656514
33509	01	145	1	1	1	14	1	95	12000	335090100	574.987546092684
33622	01	145	1	1	1	14	1	98	60000	336220100	316.93923643967
33697	01	145	3	1	3	14	1	97	180000	336970100	897.140153560871
37273	01	145	1	1	1	14	1	95	200000	372730100	224.562166168328
37600	01	145	1	1	1	14	1	98	25000	376000100	394.162300891865
37608	02	145	2	2	1	14	2	98	80000	376080200	322.550612964722
37626	01	145	2	1	2	14	1	97	100000	376260100	1489.24079119408
22476	01	145	1	1	1	14	1	95	17500	224760100	303.358359266573
22478	01	145	2	1	2	14	1	96	27000	224780100	267.352100634665
22483	01	145	1	1	1	14	1	95	82000	224830100	339.658138211664
22484	01	145	4	1	4	14	1	98	283600	224840100	250.703068925125
10690	01	145	1	1	1	14	1	98	250000	106900100	781.895504407027
11221	01	145	1	1	1	14	1	97	50000	112210100	1758.37186964363
18551	01	145	1	1	1	14	1	97	90000	185510100	1076.79077284537
18877	01	145	2	1	2	14	1	96	3000	188770100	1685.5194962756
02705	01	145	2	1	2	14	1	97	170000	027050100	1329.75596466372
02744	01	145	1	1	1	14	1	95	25000	027440100	209.553081318163
05233	01	145	1	1	1	14	1	98	80000	052330100	631.872934140396
26505	01	145	2	1	2	14	1	96	10000	265050100	314.267684316218
26578	01	145	3	1	3	14	1	97	40000	265780100	327.068897180722
22247	01	145	1	1	1	14	1	97	12000	222470100	409.549264565805
22329	01	145	2	1	2	14	1	95	4000	223290100	659.865002893997
06855	01	145	1	1	1	14	1	97	100000	068550100	
10484	01	145	1	1	1	14	1	95	22500	104840100	434.582611772445
29275	01	145	1	1	1	14	1	98	600000	292750100	1579.5765595751
33426	01	145	1	1	1	14	1	95	35000	334260100	565.966867516877
33697	01	145	2	1	2	14	1	96	15000	336970100	897.140153560871
37551	01	145	1	1	1	14	1	97	60000	375510100	1412.06140402816
22337	01	145	1	1	1	14	1	98	100000	223370100	525.144887647414
22478	01	145	4	1	4	14	1	98	155000	224780100	267.352100634665
10486	01	145	3	1	3	14	1	97	45000	104860100	642.946867063426
18286	01	145	1	1	1	14	1	98	40000	182860100	263.008930607601
18505	01	145	3	1	3	14	1	97	60000	185050100	1446.86638062351
18781	01	145	1	1	1	14	1	98	100000	187810100	380.609388801558
18877	01	145	3	1	3	14	1	97	80000	188770100	1685.5194962756
21384	01	145	3	1	3	14	1	97	32000	213840100	
02732	01	145	1	1	1	14	1	95	14000	027320100	218.34588404541
02738	01	145	1	1	1	14	1	98	180000	027380100	290.850633277515
05211	01	145	1	1	1	14	1	98	60000	052110100	658.300827619486
05231	02	145	2	2	1	14	2	98	40000	052310200	740.799096160746
26423	01	145	1	1	1	14	1	98	80000	264230100	589.263870681916
26505	01	145	3	1	3	14	1	97	80000	265050100	314.267684316218
26538	01	145	2	1	2	14	1	96	43000	265380100	1112.64282715487
26579	01	145	2	1	2	14	1	96	5000	265790100	764.748974581621
22244	01	145	1	1	1	14	1	95	40000	222440100	849.255212610445
22254	01	145	2	1	2	14	1	97	15000	222540100	704.618846771647
22329	01	145	3	1	3	14	1	96	15000	223290100	659.865002893997
05317	01	145	1	1	1	14	1	97	100000	053170100	1094.2198494252
